Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Index,Number of Affected Workers ,Number of Affected Workers 
420 Park FB LLC,2026-07-06,2026-04-06,2026-05-26,"420 Park Ave S  New York, NY, 10016",New York,Closure,Permanent,12,42,42
Air Company Holdings Inc.,2026-08-02,2026-05-04,2026-05-29,"10 Grand Street  Brooklyn, NY, 11211",Kings,Closure,Permanent,7,16,16
Air Company Holdings Inc.,2026-08-02,2026-05-04,2026-05-29,"94 Scott Ave  Brooklyn, NY, 11237",Kings,Closure,Permanent,8,23,23
Air Company Holdings Inc.,2026-08-02,2026-05-04,2026-05-29,"456 Johnson Avenue 420 Brooklyn, NY, 11237",Kings,Closure,Permanent,9,26,26
Amazon,2026-04-28,2026-01-28,2026-02-17,"1440 Broadway  New York City, NY, 10018",New York,Layoff,Permanent,86,135,135
Amazon (Long Island),2026-04-28,2026-01-27,2026-02-24,"3620 Long Beach Rd  Oceanside, NY, 11572",Nassau,Closure,Permanent,83,71,71
Amazon (Long Island),2026-04-28,2026-01-27,2026-02-24,"4054 Nesconset Highway  East Setauket, NY, 11733",Suffolk,Closure,Permanent,84,44,44
Amazon (Western),2026-05-30,2026-02-27,2026-03-17,"4201 Walden Ave  Lancaster, NY, 14086",Erie,Closure,Permanent,75,542,542
"AVI Foodsystems, Inc.",2026-05-31,2026-05-08,2026-05-26,"1 Saxon Drive  Alfred, NY, 14802",Allegany,Closure,Permanent,13,45,45
Bank of America,2026-06-24,2026-03-19,2026-04-06,"611 Jamison Road, STE 1275  Elma, NY, 14059",Erie,Closure,Permanent,65,170,170
"BMC Benchmark Management Company, LLC. (Edith Macy Center Hotel)",2026-04-30,2026-01-29,2026-03-25,"550 Chappaqua Road  Briarcliff Manor, NY, 10510",Westchester,Closure,Permanent,70,49,49
Catholic Guardian Services (Rescission),2026-04-12,2026-01-12,2026-05-29,"110 West 183rd Street  Bronx, NY, 10453",Bronx,Closure,Permanent,3,0,0
Catholic Guardian Services (Rescission),2026-04-12,2026-01-12,2026-05-29,"1161 Taylor Ave  Bronx, NY, 10472",Bronx,Closure,Permanent,4,0,0
Catholic Guardian Services (Rescission),2026-04-12,2026-01-12,2026-05-29,"1990 Westchester Ave  Bronx, NY, 10472",Bronx,Closure,Permanent,5,0,0
Catholic Guardian Services (Rescission),2026-04-12,2026-01-12,2026-05-29,"2346 Crotona Ave  Bronx, NY, 10458",Bronx,Closure,Permanent,6,0,0
