Company Name,Closure/Layoff,Affected Occupations,Location,NAICS Code,Region,Closure or Layoff?,NEG,NAICS,Employees,Workforce Area,Company Address,NAFTA/Trade,Projected Date,Company Contact,Congressional ,Local Area,Comments,Affected Occupation,Projected Dates,Industry,Notice URL,County,Source,Notice Link,Trade,SIC,County: Local  Name,NAICS/SIC,Union,Date Received,County/Counties
Castellini Group of Companies,,,,424480.0,Northern Kentucky,Layiff,,,150.0,,,,2022-03-19 00:00:00,,,,,,,,,Campbell,,WARN,No,,,,,2022-01-20 00:00:00,
Scentsy  Inc,,,,454390.0,Bluegrass,Closure,,,169.0,,,,2022-04-01 00:00:00,,,,,,,,,Fayette,,WARN,No,,,,,2022-01-12 00:00:00,
Mayfield Consumer Products,,,,339999.0,Western Kentucky,Closure,,,501.0,,,,2021-12-10 00:00:00,,,,,,,,,Graves,,WARN,No,,,,,2022-01-10 00:00:00,
Emerson - Greenlee (Greenlee Professional Tools),,,,333517.0,Kentuckiana Works,Closure,,,60.0,,,,2022-10-31 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001M0Yn/cv5Vm4VV8DQo6IRIgtLomZnw2Rhaus9oNWIqGtjtvNI,Jefferson,,WARN,No,,,,,2021-11-16 00:00:00,
Ryder Distribution Center at FRAM Group - Worldwide Blvd,,,,532120.0,Northern Kentucky,Closure,,,134.0,,,,2021-12-31 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001EzjG/MqsuLcBX4U_SNzvL_dPKy4eQ12F6hsuwEAA1rPi3E6c,Boone,,WARN,No,,,,,2021-11-04 00:00:00,
Bluegrass Cellular-Elizabethtown,,,,561110.0,Lincoln Trail,Closure,,,178.0,,,,2021-11-30 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000yNWq/fkzXuhdV5JgCrxUX3XY9AkJPzPKCfrnHn1BayKUv03o,Hardin,,WARN,No,,,,,2021-10-05 00:00:00,
Vitech Manufacturing LP,,,,339999.0,Western Kentucky,Closure,,,40.0,,,,2022-07-15 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000vHHY/5QXFGFAAg3s77VoPoLZeDKwLajXDJRIno_EtvbEDS6o,Christian,,WARN,TBD,,,,,2021-09-29 00:00:00,
Regis Woods Care and Rehab Center,,,,62331.0,Kentuckianaworks,Closure,,,95.0,,,,2021-10-16 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000002BCrv/TSd8M85stEq3c3n9JMbv4Gyum4cLTAsTcWSOp.dS_Gw,Jefferson,,WARN,No,,,,,2021-09-21 00:00:00,
TRANE U.S. Inc.,,,,333415.0,Bluegrass,Closure,,,659.0,,,,2021-09-30 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000025Bq4/eQmUMPAyugRGX0qXL88WdtQvSvs_Fk3HdyTYNTiPKFE,Fayette,,WARN,No,,,,,2021-07-27 00:00:00,
P-K Tool & Manufacturing Company,,,,336370.0,Bluegrass,Closure,,,54.0,,,,2021-07-31 00:00:00,,,,,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y9Wa/jpUbU26tJli_2mvE7pASwrM6yLvQOYvdTRlg2u_zgMU,Madison,,WARN,No,,,,,2021-06-08 00:00:00,
