Closure or Layoff?,County: Local  Name,Affected Occupation,Source,Union,Industry,NAICS Code,Affected Occupations,Region,SIC,Workforce Area,Projected Dates,Employees,Local Area,NEG,NAICS,NAFTA/Trade,Trade,Company Address,County/Counties,Date Received,Company Name,Congressional ,Company Contact,Notice Link,County,Notice URL,Closure/Layoff,Projected Date,NAICS/SIC,Location,Comments
Layiff,,,,,,424480.0,,Northern Kentucky,,,,150.0,,,,,No,,,2022-01-20 00:00:00,Castellini Group of Companies,,,WARN,Campbell,,,2022-03-19 00:00:00,,,
Closure,,,,,,454390.0,,Bluegrass,,,,169.0,,,,,No,,,2022-01-12 00:00:00,Scentsy  Inc,,,WARN,Fayette,,,2022-04-01 00:00:00,,,
Closure,,,,,,339999.0,,Western Kentucky,,,,501.0,,,,,No,,,2022-01-10 00:00:00,Mayfield Consumer Products,,,WARN,Graves,,,2021-12-10 00:00:00,,,
Closure,,,,,,333517.0,,Kentuckiana Works,,,,60.0,,,,,No,,,2021-11-16 00:00:00,Emerson - Greenlee (Greenlee Professional Tools),,,WARN,Jefferson,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001M0Yn/cv5Vm4VV8DQo6IRIgtLomZnw2Rhaus9oNWIqGtjtvNI,,2022-10-31 00:00:00,,,
Closure,,,,,,532120.0,,Northern Kentucky,,,,134.0,,,,,No,,,2021-11-04 00:00:00,Ryder Distribution Center at FRAM Group - Worldwide Blvd,,,WARN,Boone,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001EzjG/MqsuLcBX4U_SNzvL_dPKy4eQ12F6hsuwEAA1rPi3E6c,,2021-12-31 00:00:00,,,
Closure,,,,,,561110.0,,Lincoln Trail,,,,178.0,,,,,No,,,2021-10-05 00:00:00,Bluegrass Cellular-Elizabethtown,,,WARN,Hardin,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000yNWq/fkzXuhdV5JgCrxUX3XY9AkJPzPKCfrnHn1BayKUv03o,,2021-11-30 00:00:00,,,
Closure,,,,,,339999.0,,Western Kentucky,,,,40.0,,,,,TBD,,,2021-09-29 00:00:00,Vitech Manufacturing LP,,,WARN,Christian,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000vHHY/5QXFGFAAg3s77VoPoLZeDKwLajXDJRIno_EtvbEDS6o,,2022-07-15 00:00:00,,,
Closure,,,,,,62331.0,,Kentuckianaworks,,,,95.0,,,,,No,,,2021-09-21 00:00:00,Regis Woods Care and Rehab Center,,,WARN,Jefferson,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000002BCrv/TSd8M85stEq3c3n9JMbv4Gyum4cLTAsTcWSOp.dS_Gw,,2021-10-16 00:00:00,,,
Closure,,,,,,333415.0,,Bluegrass,,,,659.0,,,,,No,,,2021-07-27 00:00:00,TRANE U.S. Inc.,,,WARN,Fayette,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000025Bq4/eQmUMPAyugRGX0qXL88WdtQvSvs_Fk3HdyTYNTiPKFE,,2021-09-30 00:00:00,,,
Closure,,,,,,336370.0,,Bluegrass,,,,54.0,,,,,No,,,2021-06-08 00:00:00,P-K Tool & Manufacturing Company,,,WARN,Madison,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y9Wa/jpUbU26tJli_2mvE7pASwrM6yLvQOYvdTRlg2u_zgMU,,2021-07-31 00:00:00,,,
